GHRSST-CMC0.1deg-CMC-L4-GLOB.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-CMC0.1deg-CMC-L4-GLOB*%20OR%20fileIdentifier%3ACMC0.1deg-CMC-L4-GLOB*&start=1&max=100&f=searchPage
NCRMP-STR-PRIA.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-STR-PRIA.*&start=1&max=100&f=searchPage
GHRSST-EUR-L2P-AVHRR16_G.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-EUR-L2P-AVHRR16_G*%20OR%20fileIdentifier%3AEUR-L2P-AVHRR16_G*&start=1&max=100&f=searchPage
NCRMP-Fish-AmSam.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-Fish-AmSam.*&start=1&max=100&f=searchPage
WHOI-ARC.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AWHOI-ARC.*&start=1&max=100&f=searchPage
GHRSST-VIIRS_SST_NPP_NAR-OSISAF-L3C.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-VIIRS_SST_NPP_NAR-OSISAF-L3C*%20OR%20fileIdentifier%3AVIIRS_SST_NPP_NAR-OSISAF-L3C*&start=1&max=100&f=searchPage
NCRMP-STR-AmSam.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-STR-AmSam.*&start=1&max=100&f=searchPage
GHRSST-VIIRS_NPP-NAVO-L2P.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-VIIRS_NPP-NAVO-L2P*%20OR%20fileIdentifier%3AVIIRS_NPP-NAVO-L2P*%20OR%20fileIdentifier%3AGHRSST-VIIRS_NPP-NAVO-L2P*%20OR%20fileIdentifier%3AVIIRS_NPP-NAVO-L2P*&start=1&max=100&f=searchPage
GHRSST-EUR-L2P-AVHRR_METOP_A.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-EUR-L2P-AVHRR_METOP_A*%20OR%20fileIdentifier%3AEUR-L2P-AVHRR_METOP_A*&start=1&max=100&f=searchPage
TRANSPAC.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ATRANSPAC.*&start=1&max=100&f=searchPage
GHRSST-GOES13-OSISAF-L3C.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-GOES13-OSISAF-L3C*%20OR%20fileIdentifier%3AGOES13-OSISAF-L3C*&start=1&max=100&f=searchPage
NCRMP-CTD-HI.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-CTD-HI.*&start=1&max=100&f=searchPage
GHRSST-EUR-L3P-GLOB_AVHRR_METOP_A.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-EUR-L3P-GLOB_AVHRR_METOP_A*%20OR%20fileIdentifier%3AEUR-L3P-GLOB_AVHRR_METOP_A*&start=1&max=100&f=searchPage
GHRSST-MTSAT2-OSPO-L2P.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-MTSAT2-OSPO-L2P*%20OR%20fileIdentifier%3AMTSAT2-OSPO-L2P*%20OR%20fileIdentifier%3AGHRSST-OSDPD-L2P-MTSAT2*%20OR%20fileIdentifier%3AOSDPD-L2P-MTSAT2*&start=1&max=100&f=searchPage
GHRSST-WindSat-REMSS-L3U.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3AGHRSST-WindSat-REMSS-L3U*%20OR%20fileIdentifier%3AWindSat-REMSS-L3U*&start=1&max=100&f=searchPage
NCRMP-StRS-Images-PRIA.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-StRS-Images-PRIA.*&start=1&max=100&f=searchPage
NCRMP-Benthic-PR.xml ,https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANCRMP-Benthic-PR.*&start=1&max=100&f=searchPage
